,datetime,tempmin,temp,tempmax
0,2024-09-09,13.3,18.9,23.9
1,2024-09-10,16.5,20.9,26.1
2,2024-09-11,14.1,18.6,22.3
3,2024-09-12,14.8,20.3,26.2
4,2024-09-13,16.6,21.3,27.9
5,2024-09-14,17.8,20.4,24.4
6,2024-09-15,16.6,19.2,23.0
7,2024-09-16,14.2,19.0,24.0
