,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2024-09-09,23.9,13.3,18.9,23.9,13.3,18.9,7.6,49.2,0,0,0,,0,0,40.8,25.3,246.1,1015.8,33.7,16.0,137.0,11.9,8,10,2024-09-09T06:18:23,2024-09-09T19:03:39,0.22,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2024-09-10,26.1,16.5,20.9,26.1,16.5,20.9,9.2,50.5,0,0,0,,0,0,31.7,22.0,285.8,1016.7,32.5,16.0,125.2,10.9,8,10,2024-09-10T06:19:26,2024-09-10T19:01:54,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2024-09-11,22.3,14.1,18.6,22.3,14.1,18.6,7.7,50.5,0,0,0,,0,0,18.4,25.2,95.9,1022.0,29.3,16.0,120.0,10.3,7,10,2024-09-11T06:20:29,2024-09-11T19:00:09,0.25,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2024-09-12,26.2,14.8,20.3,26.2,14.8,20.3,12.0,60.7,0,0,0,,0,0,27.7,20.0,198.0,1023.7,19.0,16.0,113.0,9.7,7,10,2024-09-12T06:21:33,2024-09-12T18:58:23,0.32,Clear,Clear conditions throughout the day.,clear-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2024-09-13,27.9,16.6,21.3,27.9,16.6,21.4,14.3,65.4,0,0,0,,0,0,22.3,20.2,193.4,1023.2,38.4,16.0,111.0,9.7,7,10,2024-09-13T06:22:36,2024-09-13T18:56:38,0.35,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2024-09-14,24.4,17.8,20.4,24.4,17.8,20.4,16.3,78.2,0,0,0,,0,0,25.9,27.3,64.0,1024.8,32.0,15.8,111.8,9.6,7,10,2024-09-14T06:23:39,2024-09-14T18:54:52,0.39,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2024-09-15,23.0,16.6,19.2,23.0,16.6,19.2,14.0,73.5,0,0,0,,0,0,20.5,23.7,94.4,1028.1,23.8,15.6,115.6,10.1,7,10,2024-09-15T06:24:43,2024-09-15T18:53:06,0.42,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2024-09-16,24.0,14.2,19.0,24.0,14.2,19.0,11.5,63.7,0,0,0,,0,0,22.3,25.2,145.4,1026.8,17.5,15.9,112.5,9.8,7,10,2024-09-16T06:25:46,2024-09-16T18:51:19,0.45,Clear,Clear conditions throughout the day.,clear-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
