,datetime,description,icon
0,2024-09-09,Becoming cloudy in the afternoon.,partly-cloudy-day
1,2024-09-10,Partly cloudy throughout the day.,partly-cloudy-day
2,2024-09-11,Becoming cloudy in the afternoon.,partly-cloudy-day
3,2024-09-12,Clear conditions throughout the day.,clear-day
4,2024-09-13,Clearing in the afternoon.,partly-cloudy-day
5,2024-09-14,Partly cloudy throughout the day.,partly-cloudy-day
6,2024-09-15,Partly cloudy throughout the day.,partly-cloudy-day
7,2024-09-16,Clear conditions throughout the day.,clear-day
