,datetime,description,icon
0,2024-10-07,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
1,2024-10-08,Partly cloudy throughout the day.,partly-cloudy-day
2,2024-10-09,Partly cloudy throughout the day.,partly-cloudy-day
3,2024-10-10,Partly cloudy throughout the day.,partly-cloudy-day
4,2024-10-11,Clear conditions throughout the day.,clear-day
5,2024-10-12,Clear conditions throughout the day.,clear-day
6,2024-10-13,Partly cloudy throughout the day with a chance of rain.,rain
7,2024-10-14,Partly cloudy throughout the day with rain clearing later.,rain
