,datetime,tempmin,temp,tempmax
0,2024-10-07,12.2,14.0,15.9
1,2024-10-08,10.5,14.3,18.8
2,2024-10-09,11.0,13.8,17.3
3,2024-10-10,8.3,11.5,15.0
4,2024-10-11,8.9,12.6,16.7
5,2024-10-12,11.7,15.5,18.4
6,2024-10-13,8.4,10.7,14.0
7,2024-10-14,9.9,13.9,15.5
