,datetime,tempmin,temp,tempmax
0,2024-09-30,12.1,16.2,19.5
1,2024-10-01,13.8,16.2,18.4
2,2024-10-02,13.3,15.7,17.9
3,2024-10-03,12.7,16.3,20.0
4,2024-10-04,13.2,17.3,22.3
5,2024-10-05,14.3,16.9,21.2
6,2024-10-06,10.5,13.7,16.2
7,2024-10-07,12.2,14.0,15.9
