,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2024-09-30,19.5,12.1,16.2,19.5,12.1,16.2,13.2,83.0,0.0,0,0.0,,0,0,16.6,13.0,113.9,1018.1,71.4,15.9,93.4,8.0,6,10,2024-09-30T06:40:47,2024-09-30T18:26:38,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,KBED,KBOS"
1,"Boston, MA, United States",2024-10-01,18.4,13.8,16.2,18.4,13.8,16.2,13.0,82.1,0.0,0,0.0,,0,0,35.3,25.8,51.1,1019.7,86.0,15.2,39.1,3.5,2,10,2024-10-01T06:41:53,2024-10-01T18:24:53,0.96,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,KBED,KBOS"
2,"Boston, MA, United States",2024-10-02,17.9,13.3,15.7,17.9,13.3,15.7,11.0,74.3,0.0,0,0.0,,0,0,22.3,22.2,69.4,1017.3,73.5,16.0,69.3,6.0,6,10,2024-10-02T06:42:59,2024-10-02T18:23:09,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,KBED,KBOS"
3,"Boston, MA, United States",2024-10-03,20.0,12.7,16.3,20.0,12.7,16.3,12.2,77.1,0.0,0,0.0,,0,0,24.1,25.6,147.8,1019.6,55.1,16.0,103.5,8.9,6,10,2024-10-03T06:44:05,2024-10-03T18:21:26,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,KBED,KBOS"
4,"Boston, MA, United States",2024-10-04,22.3,13.2,17.3,22.3,13.2,17.3,13.4,78.6,0.0,0,0.0,,0,0,29.5,20.3,187.0,1022.1,75.1,15.9,85.1,7.3,5,10,2024-10-04T06:45:12,2024-10-04T18:19:43,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,KBED,KBOS"
5,"Boston, MA, United States",2024-10-05,21.2,14.3,16.9,21.2,14.3,16.9,12.6,76.9,0.016,100,8.33,rain,0,0,33.5,22.1,269.8,1020.1,57.5,16.0,56.6,4.8,5,10,2024-10-05T06:46:18,2024-10-05T18:18:00,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KOWD,AV085,KBED,KBOS"
6,"Boston, MA, United States",2024-10-06,16.2,10.5,13.7,16.2,10.5,13.7,8.6,71.7,0.0,0,0.0,,0,0,27.7,22.2,71.0,1019.3,42.4,15.9,79.2,6.9,7,10,2024-10-06T06:47:25,2024-10-06T18:16:18,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,KBED,KBOS"
7,"Boston, MA, United States",2024-10-07,15.9,12.2,14.0,15.9,12.2,14.0,11.9,87.0,9.945,100,41.67,rain,0,0,33.5,22.1,166.9,1010.9,96.4,13.7,13.8,1.2,1,10,2024-10-07T06:48:33,2024-10-07T18:14:36,0.17,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"KOWD,AV085,KBED,KBOS"
