,datetime,description,icon
0,2024-09-02,Partly cloudy throughout the day.,partly-cloudy-day
1,2024-09-03,Clear conditions throughout the day.,clear-day
2,2024-09-04,Clear conditions throughout the day.,clear-day
3,2024-09-05,Partly cloudy throughout the day.,partly-cloudy-day
4,2024-09-06,Partly cloudy throughout the day.,partly-cloudy-day
5,2024-09-07,Cloudy skies throughout the day with late afternoon rain.,rain
6,2024-09-08,Partly cloudy throughout the day.,partly-cloudy-day
7,2024-09-09,Becoming cloudy in the afternoon.,partly-cloudy-day
