,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2024-09-02,23.9,17.8,21.9,23.9,17.8,21.9,13.3,59.4,0.0,0,0.0,,0,0,40.7,22.0,341.1,1014.1,57.1,16.0,127.0,11.1,7,30,2024-09-02T06:11:01,2024-09-02T19:15:45,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2024-09-03,23.8,13.1,18.5,23.8,13.1,18.5,5.2,43.5,0.0,0,0.0,,0,0,40.6,23.8,313.9,1024.7,10.7,16.0,162.4,14.0,8,10,2024-09-03T06:12:04,2024-09-03T19:14:03,0.02,Clear,Clear conditions throughout the day.,clear-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
2,"Boston, MA, United States",2024-09-04,24.5,14.7,20.1,24.5,14.7,20.1,10.1,53.6,0.0,0,0.0,,0,0,18.4,21.9,152.7,1029.8,16.1,16.0,154.2,13.3,8,10,2024-09-04T06:13:07,2024-09-04T19:12:20,0.05,Clear,Clear conditions throughout the day.,clear-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
3,"Boston, MA, United States",2024-09-05,22.9,15.4,18.9,22.9,15.4,18.9,12.3,67.3,0.0,0,0.0,,0,0,24.1,27.4,118.2,1029.3,20.5,16.0,145.7,12.8,8,10,2024-09-05T06:14:10,2024-09-05T19:10:36,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
4,"Boston, MA, United States",2024-09-06,21.8,16.6,19.0,21.8,16.6,19.0,16.6,85.9,0.0,0,0.0,,0,0,31.3,23.9,46.1,1020.9,81.6,15.9,73.4,6.4,5,10,2024-09-06T06:15:13,2024-09-06T19:08:53,0.12,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
5,"Boston, MA, United States",2024-09-07,22.8,16.1,19.6,22.8,16.1,19.6,14.8,75.1,0.008,100,4.17,rain,0,0,45.6,32.7,332.9,1011.2,93.9,15.8,114.4,9.7,6,10,2024-09-07T06:16:17,2024-09-07T19:07:08,0.15,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
6,"Boston, MA, United States",2024-09-08,21.1,13.7,17.2,21.1,13.7,17.2,7.2,53.8,0.0,0,0.0,,0,0,50.3,29.3,269.7,1011.9,34.9,16.0,137.9,12.0,8,10,2024-09-08T06:17:20,2024-09-08T19:05:24,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
7,"Boston, MA, United States",2024-09-09,23.9,13.3,18.9,23.9,13.3,18.9,7.6,49.2,0.0,0,0.0,,0,0,40.8,25.3,246.1,1015.8,33.7,16.0,137.0,11.9,8,10,2024-09-09T06:18:23,2024-09-09T19:03:39,0.22,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
