,datetime,description,icon
0,2024-09-16,Clear conditions throughout the day.,clear-day
1,2024-09-17,Partly cloudy throughout the day.,partly-cloudy-day
2,2024-09-18,Partly cloudy throughout the day.,partly-cloudy-day
3,2024-09-19,Cloudy skies throughout the day with rain in the morning and afternoon.,rain
4,2024-09-20,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
5,2024-09-21,Cloudy skies throughout the day with a chance of rain throughout the day.,rain
6,2024-09-22,Cloudy skies throughout the day with rain.,rain
7,2024-09-23,Partly cloudy throughout the day.,partly-cloudy-day
