,datetime,tempmin,temp,tempmax
0,2024-09-16,14.2,19.0,24.0
1,2024-09-17,13.8,19.2,25.1
2,2024-09-18,15.9,18.1,21.8
3,2024-09-19,16.7,19.3,23.3
4,2024-09-20,16.2,17.3,18.9
5,2024-09-21,13.9,15.0,15.7
6,2024-09-22,13.8,15.7,18.8
7,2024-09-23,12.8,15.3,17.8
