,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2024-09-23,17.8,12.8,15.3,17.8,12.8,15.3,11.7,79.7,0.0,0,0.0,,0,0,40.7,27.5,34.7,1019.3,77.5,16.0,54.7,4.6,2,10,2024-09-23T06:33:13,2024-09-23T18:38:56,0.69,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,72509854704,KBED,KBOS,72509014739,72505914702"
1,"Boston, MA, United States",2024-09-24,18.4,11.7,15.4,18.4,11.7,15.4,11.8,79.5,0.004,100,4.17,rain,0,0,29.5,25.8,44.1,1021.9,82.4,16.0,82.6,7.1,6,10,2024-09-24T06:34:17,2024-09-24T18:37:09,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"KOWD,AV085,KBED,KBOS"
2,"Boston, MA, United States",2024-09-25,17.9,14.3,16.4,17.9,14.3,16.4,12.3,77.0,0.0,0,0.0,,0,0,27.7,23.7,99.7,1023.4,99.9,16.0,37.7,3.1,2,10,2024-09-25T06:35:22,2024-09-25T18:35:24,0.76,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,AV085,KBED,KBOS"
3,"Boston, MA, United States",2024-09-26,20.7,15.6,17.5,20.7,15.6,17.5,15.7,89.6,7.945,100,33.33,rain,0,0,35.3,20.4,169.9,1019.3,99.9,14.4,20.2,1.6,1,10,2024-09-26T06:36:27,2024-09-26T18:33:38,0.79,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"KOWD,AV085,KBED,KBOS"
4,"Boston, MA, United States",2024-09-27,26.2,17.2,19.7,26.2,17.2,19.7,14.5,75.0,0.0,0,0.0,,0,0,14.8,18.1,221.0,1015.9,81.5,16.0,104.6,9.2,7,10,2024-09-27T06:37:32,2024-09-27T18:31:52,0.83,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,KBED,KBOS"
5,"Boston, MA, United States",2024-09-28,19.4,15.6,17.2,19.4,15.6,17.2,14.7,85.8,0.0,0,0.0,,0,0,29.5,22.1,73.1,1017.4,80.2,15.9,73.9,6.5,6,10,2024-09-28T06:38:37,2024-09-28T18:30:07,0.86,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,KBED,KBOS"
6,"Boston, MA, United States",2024-09-29,18.4,14.3,16.2,18.4,14.3,16.2,12.7,80.2,0.0,0,0.0,,0,0,14.8,16.4,76.8,1017.8,91.5,16.0,36.5,3.2,1,10,2024-09-29T06:39:42,2024-09-29T18:28:22,0.89,Overcast,Cloudy skies throughout the day.,cloudy,"KOWD,AV085,KBED,KBOS"
7,"Boston, MA, United States",2024-09-30,19.5,12.1,16.2,19.5,12.1,16.2,13.2,83.0,0.0,0,0.0,,0,0,16.6,13.0,113.9,1018.1,71.4,15.9,93.4,8.0,6,10,2024-09-30T06:40:47,2024-09-30T18:26:38,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,AV085,KBED,KBOS"
