,datetime,tempmin,temp,tempmax
0,2024-09-23,12.8,15.3,17.8
1,2024-09-24,11.7,15.4,18.4
2,2024-09-25,14.3,16.4,17.9
3,2024-09-26,15.6,17.5,20.7
4,2024-09-27,17.2,19.7,26.2
5,2024-09-28,15.6,17.2,19.4
6,2024-09-29,14.3,16.2,18.4
7,2024-09-30,12.1,16.2,19.5
